Task ID,Task Name,BIM Elements,Recipe Name,Operation Name,Element Name,Element ID,Crew Type,Number of Crews,Workforce,Start Date,End Date,Duration (Working),Duration (Calendar),Predecessors,Labor Hours Budgeted,Latest Start,Latest End,Critical,Free Slack (hrs),Total Slack (hrs),Driving Task(s),Driving Constraint Type(s),Subcontractor,Trade,Crane,Excavator,Rebar,Concrete Pump,Concrete,Concrete R,Slab Formwork Sets,PR: colform,PR: hoursperday,Property: zone,Property: building,Property: element_alice_type,Property: element_family_and_type,Property: Qtty_Duct,Property: Qtty_piping,Cost: Total Direct,Cost: Hourly Crew,Cost: Hourly Equipment,Cost: Labor,Cost: Equipment,Cost: Material,Schedule Name
A571852759,Drop Rebar [PO_B_L0_Foundation],,Foundation,Drop Rebar,PO_B_L0_Foundation,e3a1d3b3-9b96-4dcc-b19e-273a41721ac8,E_Steel Crew,1,3,1/17/2020 9:00,1/20/2020 17:00,16,80,,48,1/20/2020,1/21/2020,No,0,8,A822537153,Precedence,Excavation Sub,Excavation Sub,,0,54998.41528,0,0,0,0,,,,,,,,,66398.22512,300,0,4800,0,61598.22512,1 Crew  and Equipment each
A683057344,Erect Crane [Crane_TCC],,Tower Cranes,Erect Crane,Crane_TCC,efe2623f-35b1-4bac-8e13-b12def259a04,,0,0,1/19/2020 17:00,1/20/2020 1:00,8,8,,0,11/1/2022,11/1/2022,No,15304,24392,A648505358,Precedence,,,,0,0,0,0,0,0,,,Unknown,Unknown,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A535066528,Install Rebar [PO_A_L0_Column],,Concrete Columns (Podium),Install Rebar,PO_A_L0_Column,064d501a-164e-4b07-ac3d-625b65e87ed0,C_Steel Crew,1,3,1/20/2020 9:00,1/24/2020 17:00,40,104,,120,1/20/2020,1/24/2020,Yes,0,0,,,Concrete Sub,Concrete Sub,Crane C,0,14476.43304,0,0,0,0,,,,,,,,,36213.605,300,0,12000,8000,16213.605,1 Crew  and Equipment each
A1726809846,Climb Platform [PO_A_L0_Core Wall 2],,Core Walls,Climb Platform,PO_A_L0_Core Wall 2,da366d8c-e136-4a07-b986-9bc1c030c681,C_Carpenter Crew,1,3,1/20/2020 9:00,1/20/2020 17:00,8,8,,24,1/23/2020,1/23/2020,No,0,24,,,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A2071502402,Climb Platform [PO_A_L0_Core Wall 1],,Core Walls,Climb Platform,PO_A_L0_Core Wall 1,b1fcd9f5-525a-408b-b3a6-ceffe9054631,C_Carpenter Crew,1,3,1/21/2020 9:00,1/21/2020 17:00,8,8,,24,1/24/2020,1/24/2020,No,24,24,A1726809846,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1738302193,Setup Form-work [PO_B_L0_Foundation],,Foundation,Setup Form-work,PO_B_L0_Foundation,e3a1d3b3-9b96-4dcc-b19e-273a41721ac8,E_Carpenter Crew,1,3,1/21/2020 9:00,1/23/2020 17:00,24,56,A571852759,72,1/22/2020,1/24/2020,No,0,8,A571852759,Precedence,Excavation Sub,Excavation Sub,,0,0,0,0,0,0,,,,,,,,,7200,300,0,7200,0,0,1 Crew  and Equipment each
A1176258887,Pour Concrete [PO_B_L0_Foundation],,Foundation,Pour Concrete,PO_B_L0_Foundation,e3a1d3b3-9b96-4dcc-b19e-273a41721ac8,E_Concrete Crew,1,3,1/24/2020 9:00,1/24/2020 17:00,8,8,A1738302193,24,1/27/2020,1/27/2020,No,0,8,A1738302193,Precedence,Excavation Sub,Excavation Sub,,0,0,1,11746.52726,11746.52726,0,,,,,,,,,71005.89993,300,500,2400,4000,64605.89993,1 Crew  and Equipment each
A1129162502,Cure [PO_B_L0_Foundation],,Foundation,Cure,PO_B_L0_Foundation,e3a1d3b3-9b96-4dcc-b19e-273a41721ac8,,0,0,1/24/2020 17:00,1/27/2020 17:00,72,72,A1176258887FaS,0,1/28/2020,1/31/2020,No,0,88,A1176258887,Precedence,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A1816805214,Set Up Forms [PO_A_L0_Column],,Concrete Columns (Podium),Set Up Forms,PO_A_L0_Column,064d501a-164e-4b07-ac3d-625b65e87ed0,C_Carpenter Crew,1,3,1/27/2020 9:00,1/30/2020 17:00,32,80,A535066528,96,1/27/2020,1/30/2020,Yes,0,0,A535066528,Precedence,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,9600,300,0,9600,0,0,1 Crew  and Equipment each
A654307630,Install Rebar [PO_A_L0_Core Wall 1],,Core Walls,Install Rebar,PO_A_L0_Core Wall 1,b1fcd9f5-525a-408b-b3a6-ceffe9054631,C_Steel Crew,1,3,1/27/2020 9:00,1/29/2020 17:00,24,56,A2071502402,72,1/27/2020,1/29/2020,Yes,0,0,A535066528,Crew,Concrete Sub,Concrete Sub,,0,9637.203627,0,0,0,0,,,,,,,,,17993.66806,300,0,7200,0,10793.66806,1 Crew  and Equipment each
A2009736029,Erect Crane [Crane_TCB],,Tower Cranes,Erect Crane,Crane_TCB,0aab3408-7d21-4cda-af4d-0fecfd454a1f,,0,0,1/27/2020 17:00,1/28/2020 1:00,8,8,,0,11/1/2022,11/1/2022,No,14992,24200,A1129162502,Precedence,,,,0,0,0,0,0,0,,,Unknown,Unknown,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A1497809276,Erect Crane [Crane_TCA],,Tower Cranes,Erect Crane,Crane_TCA,7c81a9ee-1a16-44a1-85fa-5406b4fe1764,,0,0,1/27/2020 17:00,1/28/2020 1:00,8,8,,0,11/1/2022,11/1/2022,No,15616,24200,A1129162502,Precedence,,,,0,0,0,0,0,0,,,Unknown,Unknown,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A309615074,Install Rebar [PO_A_L0_Core Wall 2],,Core Walls,Install Rebar,PO_A_L0_Core Wall 2,da366d8c-e136-4a07-b986-9bc1c030c681,C_Steel Crew,1,3,1/30/2020 9:00,2/3/2020 17:00,24,104,A1726809846,72,1/30/2020,2/3/2020,Yes,0,0,A654307630,Crew,Concrete Sub,Concrete Sub,,0,9637.200704,0,0,0,0,,,,,,,,,17993.66479,300,0,7200,0,10793.66479,1 Crew  and Equipment each
A2109136939,Pour Concrete [PO_A_L0_Column],,Concrete Columns (Podium),Pour Concrete,PO_A_L0_Column,064d501a-164e-4b07-ac3d-625b65e87ed0,C_Concrete Crew,1,3,1/31/2020 9:00,1/31/2020 17:00,8,8,A1816805214,24,1/31/2020,1/31/2020,Yes,0,0,A1816805214,Precedence,Concrete Sub,Concrete Sub,,0,0,1,3091.867546,3091.867546,0,,,,,,,,,23405.27151,300,500,2400,4000,17005.27151,1 Crew  and Equipment each
A1972280020,Climb Platform [PO_B_L0_Core Wall 2],,Core Walls,Climb Platform,PO_B_L0_Core Wall 2,62793a7c-89c3-4492-a3d3-436fcc3fe437,C_Carpenter Crew,1,3,1/31/2020 9:00,1/31/2020 17:00,8,8,,24,1/31/2020,1/31/2020,Yes,0,0,A1816805214,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1667466476,Cure [PO_A_L0_Column],,Concrete Columns (Podium),Cure,PO_A_L0_Column,064d501a-164e-4b07-ac3d-625b65e87ed0,,0,0,1/31/2020 17:00,2/2/2020 17:00,48,48,A2109136939FaS,0,10/30/2022,11/1/2022,No,24072,24072,A2109136939,Precedence,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A685981644,Strip Forms [PO_A_L0_Column],,Concrete Columns (Podium),Strip Forms,PO_A_L0_Column,064d501a-164e-4b07-ac3d-625b65e87ed0,C_Carpenter Crew,1,3,2/3/2020 9:00,2/4/2020 17:00,16,32,A2109136939,48,2/3/2020,2/4/2020,Yes,0,0,"A2109136939, A1972280020","Precedence, Crew",Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,4800,300,0,4800,0,0,1 Crew  and Equipment each
A555085248,Install Rebar [PO_B_L0_Core Wall 2],,Core Walls,Install Rebar,PO_B_L0_Core Wall 2,62793a7c-89c3-4492-a3d3-436fcc3fe437,C_Steel Crew,1,3,2/4/2020 9:00,2/6/2020 17:00,24,56,A1972280020,72,2/4/2020,2/6/2020,Yes,0,0,A309615074,Crew,Concrete Sub,Concrete Sub,,0,8632.917408,0,0,0,0,,,,,,,,,16868.8675,300,0,7200,0,9668.867497,1 Crew  and Equipment each
A2024195140,Set Up Forms [PO_A_L1_Floor],,Concrete Slabs (Podium),Set Up Forms,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Carpenter Crew,1,3,2/5/2020 9:00,2/6/2020 17:00,16,32,,48,2/5/2020,2/6/2020,Yes,0,0,"A685981644, A685981644","Precedence, Crew",Concrete Sub,Concrete Sub,Crane B,0,0,0,0,0,3,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,8000,300,0,4800,3200,0,1 Crew  and Equipment each
A1147955949,Install Rebar [PO_A_L1_Floor],,Concrete Slabs (Podium),Install Rebar,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Steel Crew,1,3,2/7/2020 9:00,2/13/2020 17:00,40,152,A2024195140,120,2/7/2020,2/13/2020,Yes,0,0,"A2024195140, A555085248","Precedence, Crew",Concrete Sub,Concrete Sub,,0,83691.92238,0,0,0,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,105734.9531,300,0,12000,0,93734.95307,1 Crew  and Equipment each
A1845391690,Close Forms [PO_A_L0_Core Wall 1],,Core Walls,Close Forms,PO_A_L0_Core Wall 1,b1fcd9f5-525a-408b-b3a6-ceffe9054631,C_Carpenter Crew,1,3,2/7/2020 9:00,2/10/2020 17:00,16,80,A654307630,48,2/7/2020,2/10/2020,Yes,0,0,A2024195140,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,4800,300,0,4800,0,0,1 Crew  and Equipment each
A132197602,Pour Concrete [PO_A_L0_Core Wall 1],,Core Walls,Pour Concrete,PO_A_L0_Core Wall 1,b1fcd9f5-525a-408b-b3a6-ceffe9054631,C_Concrete Crew,1,3,2/11/2020 9:00,2/11/2020 17:00,8,8,A1845391690,24,2/12/2020,2/12/2020,No,0,8,A1845391690,Precedence,Concrete Sub,Concrete Sub,,0,0,1,2058.307944,2058.307944,0,,,,,,,,,17720.69369,300,500,2400,4000,11320.69369,1 Crew  and Equipment each
A1500699134,Close Forms [PO_A_L0_Core Wall 2],,Core Walls,Close Forms,PO_A_L0_Core Wall 2,da366d8c-e136-4a07-b986-9bc1c030c681,C_Carpenter Crew,1,3,2/11/2020 9:00,2/12/2020 17:00,16,32,A309615074,48,2/11/2020,2/12/2020,Yes,0,0,A1845391690,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,4800,300,0,4800,0,0,1 Crew  and Equipment each
A600934662,Cure [PO_A_L0_Core Wall 1],,Core Walls,Cure,PO_A_L0_Core Wall 1,b1fcd9f5-525a-408b-b3a6-ceffe9054631,,0,0,2/11/2020 17:00,2/13/2020 9:00,40,40,A132197602FaS,0,10/31/2022,11/1/2022,No,23816,23816,A132197602,Precedence,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A1420088518,Climb Platform [PO_A_L1_Core Wall 1],,Core Walls,Climb Platform,PO_A_L1_Core Wall 1,8169d227-db63-415e-b55b-650e41c64db3,C_Carpenter Crew,1,3,2/13/2020 9:00,2/13/2020 17:00,8,8,,24,2/13/2020,2/13/2020,Yes,0,0,A1500699134,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1934988694,Pour Concrete [PO_A_L0_Core Wall 2],,Core Walls,Pour Concrete,PO_A_L0_Core Wall 2,da366d8c-e136-4a07-b986-9bc1c030c681,C_Concrete Crew,1,3,2/13/2020 9:00,2/13/2020 17:00,8,8,A1500699134,24,2/14/2020,2/14/2020,No,0,8,A1500699134,Precedence,Concrete Sub,Concrete Sub,,0,0,1,2058.30732,2058.30732,0,,,,,,,,,17720.69026,300,500,2400,4000,11320.69026,1 Crew  and Equipment each
A256242106,Cure [PO_A_L0_Core Wall 2],,Core Walls,Cure,PO_A_L0_Core Wall 2,da366d8c-e136-4a07-b986-9bc1c030c681,,0,0,2/13/2020 17:00,2/15/2020 9:00,40,40,A1934988694FaS,0,10/31/2022,11/1/2022,No,23768,23768,A1934988694,Precedence,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A1227053713,Form Joints [PO_A_L1_Floor],,Concrete Slabs (Podium),Form Joints,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Carpenter Crew,1,3,2/14/2020 9:00,2/14/2020 17:00,8,8,A1147955949,24,2/14/2020,2/14/2020,Yes,0,0,"A1147955949, A1420088518","Precedence, Crew",Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A2893746,Install Rebar [PO_A_L1_Core Wall 1],,Core Walls,Install Rebar,PO_A_L1_Core Wall 1,8169d227-db63-415e-b55b-650e41c64db3,C_Steel Crew,1,3,2/14/2020 9:00,2/18/2020 17:00,24,104,A1420088518,72,2/14/2020,2/18/2020,Yes,0,0,"A1420088518, A1147955949","Precedence, Crew",Concrete Sub,Concrete Sub,,0,9637.203329,0,0,0,0,,,,,,,,,17993.66773,300,0,7200,0,10793.66773,1 Crew  and Equipment each
A1394463761,Climb Platform [PO_A_L1_Core Wall 2],,Core Walls,Climb Platform,PO_A_L1_Core Wall 2,3291fa8d-caaf-4c9d-a9b9-6be6144041d6,C_Carpenter Crew,1,3,2/17/2020 9:00,2/17/2020 17:00,8,8,,24,2/17/2020,2/17/2020,Yes,0,0,A1227053713,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1406054244,Pour Concrete seg. 3 [PO_A_L1_Floor],,Concrete Slabs (Podium),Pour Concrete seg. 3,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Concrete Crew,1,3,2/17/2020 9:00,2/17/2020 17:00,8,8,A1227053713,24,2/17/2020,2/17/2020,Yes,0,0,A1227053713,Precedence,Concrete Sub,Concrete Sub,,0,0,1,5958.289541,4468.717156,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,39170.59248,300,500,2400,4000,32770.59248,1 Crew  and Equipment each
A712296902,Pour Concrete seg. 1 [PO_A_L1_Floor],,Concrete Slabs (Podium),Pour Concrete seg. 1,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Concrete Crew,1,3,2/18/2020 9:00,2/18/2020 17:00,8,8,A1227053713,24,2/18/2020,2/18/2020,Yes,0,0,"A1406054244, A1406054244, A1406054244","Material, Equipment, Crew",Concrete Sub,Concrete Sub,,0,0,1,5958.289541,4468.717156,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,39170.59248,300,500,2400,4000,32770.59248,1 Crew  and Equipment each
A1323615867,Climb Platform [PO_B_L0_Core Wall 1],,Core Walls,Climb Platform,PO_B_L0_Core Wall 1,0749749a-645e-49fb-b54a-de1305c462df,C_Carpenter Crew,1,3,2/18/2020 9:00,2/18/2020 17:00,8,8,,24,2/18/2020,2/18/2020,Yes,0,0,A1394463761,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A2124752637,Install Rebar [PO_A_L1_Core Wall 2],,Core Walls,Install Rebar,PO_A_L1_Core Wall 2,3291fa8d-caaf-4c9d-a9b9-6be6144041d6,C_Steel Crew,1,3,2/19/2020 9:00,2/21/2020 17:00,24,56,A1394463761,72,2/19/2020,2/21/2020,Yes,0,0,A2893746,Crew,Concrete Sub,Concrete Sub,,0,9637.200406,0,0,0,0,,,,,,,,,17993.66446,300,0,7200,0,10793.66446,1 Crew  and Equipment each
A799864070,Strip Joints [PO_A_L1_Floor],,Concrete Slabs (Podium),Strip Joints,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Carpenter Crew,1,3,2/19/2020 9:00,2/19/2020 17:00,8,8,"A1406054244,A712296902",24,2/19/2020,2/19/2020,Yes,0,0,"A1323615867, A712296902","Crew, Precedence",Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1193977806,Close Forms [PO_A_L1_Core Wall 1],,Core Walls,Close Forms,PO_A_L1_Core Wall 1,8169d227-db63-415e-b55b-650e41c64db3,C_Carpenter Crew,1,3,2/20/2020 9:00,2/21/2020 17:00,16,32,A2893746,48,2/20/2020,2/21/2020,Yes,0,0,A799864070,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,4800,300,0,4800,0,0,1 Crew  and Equipment each
A739241483,Pour Concrete seg. 2 [PO_A_L1_Floor],,Concrete Slabs (Podium),Pour Concrete seg. 2,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Concrete Crew,1,3,2/20/2020 9:00,2/20/2020 17:00,8,8,A799864070,24,2/20/2020,2/20/2020,Yes,0,0,A799864070,Precedence,Concrete Sub,Concrete Sub,,0,0,1,4468.717156,4468.717156,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,30977.94436,300,500,2400,4000,24577.94436,1 Crew  and Equipment each
A917895608,Pour Concrete seg. 4 [PO_A_L1_Floor],,Concrete Slabs (Podium),Pour Concrete seg. 4,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Concrete Crew,1,3,2/21/2020 9:00,2/21/2020 17:00,8,8,A799864070,24,2/21/2020,2/21/2020,Yes,0,0,"A739241483, A739241483, A739241483","Material, Equipment, Crew",Concrete Sub,Concrete Sub,,0,0,1,4468.717156,4468.717156,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,30977.94436,300,500,2400,4000,24577.94436,1 Crew  and Equipment each
A1359134131,Cure [PO_A_L1_Floor],,Concrete Slabs (Podium),Cure,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,,0,0,2/21/2020 17:00,2/24/2020 17:00,72,72,"A917895608,A739241483",0,2/23/2020,2/26/2020,No,40,40,A917895608,Precedence,,,,0,0,0,0,0,0,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,0,0,0,0,0,0,1 Crew  and Equipment each
A899037476,Install Rebar [PO_A_L1_Column],,Concrete Columns (Podium),Install Rebar,PO_A_L1_Column,28ed610e-e636-41b9-9003-7ab58d592693,C_Steel Crew,1,3,2/24/2020 9:00,2/28/2020 17:00,40,104,,120,2/24/2020,2/28/2020,Yes,0,0,A2124752637,Crew,Concrete Sub,Concrete Sub,Crane C,0,5428.666928,0,0,0,0,,,,,,,,,26080.10696,300,0,12000,8000,6080.106959,1 Crew  and Equipment each
A1628267366,Pour Concrete [PO_A_L1_Core Wall 1],,Core Walls,Pour Concrete,PO_A_L1_Core Wall 1,8169d227-db63-415e-b55b-650e41c64db3,C_Concrete Crew,1,3,2/24/2020 9:00,2/24/2020 17:00,8,8,A1193977806,24,2/24/2020,2/24/2020,Yes,0,0,"A1193977806, A917895608, A917895608, A917895608","Precedence, Equipment, Crew, Material",Concrete Sub,Concrete Sub,,0,0,1,2058.307881,2058.307881,0,,,,,,,,,17720.69334,300,500,2400,4000,11320.69334,1 Crew  and Equipment each
A998493135,Climb Platform [PO_B_L0_Core Wall 3],,Core Walls,Climb Platform,PO_B_L0_Core Wall 3,dfdcec1f-9750-45df-b692-b8ada5aebde0,C_Carpenter Crew,1,3,2/24/2020 9:00,2/24/2020 17:00,8,8,,24,2/24/2020,2/24/2020,Yes,0,0,A1193977806,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A2097004426,Cure [PO_A_L1_Core Wall 1],,Core Walls,Cure,PO_A_L1_Core Wall 1,8169d227-db63-415e-b55b-650e41c64db3,,0,0,2/24/2020 17:00,2/26/2020 9:00,40,40,A1628267366FaS,0,10/31/2022,11/1/2022,No,23504,23504,A1628267366,Precedence,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
A309322783,Climb Platform [B1_C_L2_Core Wall],,Core Walls,Climb Platform,B1_C_L2_Core Wall,cafe10b9-9d9e-42db-98d8-4ef637689590,C_Carpenter Crew,1,3,2/25/2020 9:00,2/25/2020 17:00,8,8,,24,2/25/2020,2/25/2020,Yes,0,0,"A1628267366, A998493135","Precedence, Crew",Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1088478809,Strip Forms [PO_A_L1_Floor],,Concrete Slabs (Podium),Strip Forms,PO_A_L1_Floor,add98f3f-59b8-4333-80ad-b52ac0b390cb,C_Carpenter Crew,1,3,2/26/2020 9:00,2/26/2020 17:00,8,8,A1359134131,24,2/26/2020,2/26/2020,Yes,0,0,A309322783,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,-3,,,,,Podium,"FamilySymbol ""400 x 800mm"", #235079, FloorType ""Generic Floor - 400mm"", #226",,,2400,300,0,2400,0,0,1 Crew  and Equipment each
A1168353049,Close Forms [PO_A_L1_Core Wall 2],,Core Walls,Close Forms,PO_A_L1_Core Wall 2,3291fa8d-caaf-4c9d-a9b9-6be6144041d6,C_Carpenter Crew,1,3,2/27/2020 9:00,2/28/2020 17:00,16,32,A2124752637,48,2/27/2020,2/28/2020,Yes,0,0,A1088478809,Crew,Concrete Sub,Concrete Sub,,0,0,0,0,0,0,,,,,,,,,4800,300,0,4800,0,0,1 Crew  and Equipment each
